session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-04-10,201205,SHORT,2012-04-09 22:00:00+00:00,2012-04-10 00:00:00+00:00,2012-04-10 02:00:00+00:00,0.12,31.68,31.835,-0.155,-155.0,-186.2,13295.0,-9356.2
2012-04-10,201205,LONG,2012-04-10 02:00:00+00:00,2012-04-10 04:00:00+00:00,2012-04-10 06:00:00+00:00,-0.035,31.8,31.78,-0.02,-20.0,-51.2,13275.0,-9407.4
2012-04-11,201205,LONG,2012-04-10 22:00:00+00:00,2012-04-11 00:00:00+00:00,2012-04-11 02:00:00+00:00,-0.175,31.515,31.56,0.045,45.0,13.8,13320.0,-9393.6
2012-04-12,201205,SHORT,2012-04-11 22:00:00+00:00,2012-04-12 00:00:00+00:00,2012-04-12 02:00:00+00:00,0.01,31.61,31.535,0.075,75.0,43.8,13395.0,-9349.8
2012-04-12,201205,SHORT,2012-04-12 02:00:00+00:00,2012-04-12 04:00:00+00:00,2012-04-12 06:00:00+00:00,0.045,31.58,31.635,-0.055,-55.0,-86.2,13340.0,-9436.0
2012-04-13,201205,SHORT,2012-04-12 22:00:00+00:00,2012-04-13 00:00:00+00:00,2012-04-13 02:00:00+00:00,0.01,32.365,32.25,0.115,115.0,83.8,13455.0,-9352.2
2012-04-13,201205,SHORT,2012-04-13 02:00:00+00:00,2012-04-13 04:00:00+00:00,2012-04-13 06:00:00+00:00,0.01,32.26,32.25,0.01,10.0,-21.2,13465.0,-9373.4
2012-04-16,201205,SHORT,2012-04-15 22:00:00+00:00,2012-04-16 00:00:00+00:00,2012-04-16 02:00:00+00:00,0.05,31.365,31.44,-0.075,-75.0,-106.2,13390.0,-9479.6
2012-04-16,201205,LONG,2012-04-16 02:00:00+00:00,2012-04-16 04:00:00+00:00,2012-04-16 06:00:00+00:00,-0.11,31.33,31.31,-0.02,-20.0,-51.2,13370.0,-9530.8
2012-04-17,201205,LONG,2012-04-16 22:00:00+00:00,2012-04-17 00:00:00+00:00,2012-04-17 02:00:00+00:00,-0.015,31.465,31.37,-0.095,-95.0,-126.2,13275.0,-9657.0
2012-04-17,201205,SHORT,2012-04-17 02:00:00+00:00,2012-04-17 04:00:00+00:00,2012-04-17 06:00:00+00:00,0.035,31.405,31.375,0.03,30.0,-1.2,13305.0,-9658.2
2012-04-18,201205,SHORT,2012-04-17 22:00:00+00:00,2012-04-18 00:00:00+00:00,2012-04-18 02:00:00+00:00,0.045,31.72,31.7,0.02,20.0,-11.2,13325.0,-9669.4
2012-04-18,201205,SHORT,2012-04-18 02:00:00+00:00,2012-04-18 04:00:00+00:00,2012-04-18 06:00:00+00:00,0.11,31.81,31.795,0.015,15.0,-16.2,13340.0,-9685.6
